
Галицький;вул .Б. Лепкого, 11;"магазин ""Продукти""";ФОП Наконечна Т.;цілодобово
Галицький;вул .Коперніка, 43;"магазин ""Продукти""";"ТзОВ ""Марта""";цілодобово
Галицький;вул Словацького, 18/21;магазин;СПД Темчишин Я.В.;10.00-22.00
Галицький;вул Словацького, 5/1;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;"вул. Академіка В. Гнатюка – 
просп. Свободи 
";ТС;ПМП “Рома“;8.00-23-00
Галицький;вул. Б. Хмельницького,19;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Б. Хмельницького,19;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Б. Хмельницького,41;магазин;ПАТ ЛЛГЗ;10.00-22.00
Галицький;вул. В. Стуса, 2 (кінцева зупинка трамвая № 4);ТС;Чунис Д. Ф.;8.00-23.00
Галицький;вул. В.Стуса.2;ТС;Чунис Д.Ф.;8.00-23-00
Галицький;вул. Вагова,16;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Весела,1;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Весела,1;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Гавришкевича 2;магазин;ПАТ ЛЛГЗ;10.00-22.00
Галицький;вул. Гавришкевича 4;"алкомаркет ""Напої Світу""";"ТзОВ ""Світ К""";10.00-22.00
Галицький;вул. Гнатюка,2;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Гоголя,14;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Городоцька, 32;ТС;"ТзОВ ""Розтор""";8.00-22.00
Галицький;вул. Городоцька, 63/67;ТС;Сорока Ю. М.;8.00-23-00
Галицький;вул. Городоцька, 85;ТС;Кіцинюк Т. Р.;8.00-23.00
Галицький;вул. Городоцька,30;"магазин ""Продукти""";"ТзОВ ""Ренета""";цілодобово
Галицький;вул. Городоцька,67;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Городоцька,67;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Грушевського,11/1А;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Грушевського,11/1а;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Джерельна,16а;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Джерельна,16а;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Дорошенка 19;магазин;ТзОВ Гал Леобуд;8.30-22.00
Галицький;вул. Дорошенка 48;магазин;"ПП ""Міська оренда""";8.00-21.00
Галицький;вул. Дудаєва, 14;магазин;"ПП ""Тобі ГНГ""";8.00-22.00
Галицький;вул. Дудаєва,7;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Дудаєва,7;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Зернова, 2;ТС;ПП Алтунян А. Г.;цілодобово
Галицький;вул. Зернова, 2;ТС;Алтунян А. Г.;8.00-23-00
Галицький;вул. Зернова,2,16;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Зернова,2/16;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. І. Франка, 108 –;ТС;Кушніренко Р. О.;8.00-23.00
Галицький;вул. І. Франка, 87;"магазин ""Продукти""";"магазин ""Продукти""";цілодобово
Галицький;вул. Ів. Франка, 6/2;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Ів. Франка,104;магазин;ДП Морозко ПАТ Львів-Холоднокомбінат;8.00-20.00
Галицький;вул. Ів. Франка,6/2;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Ів. Франка,72/10;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Ів.Франка 67;магазин;"ТзОВ ""Галицький млин""";9.00-21.00
Галицький;вул. Кн. Романа, 9;"магазин ""Близенько""";"ПП ""Мережа Сервіс Львів""";08.00-22.00
Галицький;вул. Кн. Романа,16;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Кн. Романа,16;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Князя Романа, 38;ТС;ТзОВ “Барви Львова“;8.00-23-00
Галицький;вул. Коперника, 28а/11а;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Коперника,28а/11а;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Коперніка, 43;магазин;ТзОВ Вотан;8.00-22.00
Галицький;вул. Коцюбинського, 12;магазин;ФОП Подвисоцький В.М;10.00-22.00
Галицький;вул. Краківська 30;"міні-маркет ""Домашній кошик""";ТОВ фірма Ластівка;8.00-22.00
Галицький;вул. Краківська,7;магазин;"ТзОВ ""Липовий цвіт""";9.00-22.00
Галицький;вул. Кривоноса,25;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Кривоноса,25;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Кубійовича, 31;"магазин ""Близенько""";"ПП ""Мережа Сервіс Львів""";10.00-20.00
Галицький;вул. Куліша, 16/1;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Куліша, 9;"магазин ""Близенько""";"ПП ""Мережа Сервіс Львів""";08.00-22.00
Галицький;вул. Куліша,16/1;магазин;"ТзОВ ""Овація""";10.00-22.00
Галицький;вул. Куліша/Зернова, 2;магазин;СПД Хмельницька Н.М.;цілодобово
Галицький;вул. Личаківська,1;магазин;"ТзОВ ""Овація""";10.00-22.00
